+,598,-1006,16458,0.01,0.00,0.02,2432
+,728,-594,16706,0.00,0.01,0.06,2538
+,-76,-1086,16358,-0.00,0.02,0.07,2645
+,-148,-1366,16140,-0.02,0.02,0.10,2751
+,-120,-756,16196,-0.02,0.01,0.13,2857
+,704,-1226,16288,-0.03,0.01,0.18,2963
+,832,-1710,16900,-0.04,0.01,0.24,3070
+,886,-916,16224,-0.06,0.00,0.15,3176
+,682,-2142,17004,-0.08,0.00,0.04,3282
+,424,-3006,17158,-0.10,0.03,0.03,3388
+,2086,-4138,17562,-0.15,0.08,-0.01,3495
+,6688,-2992,18652,-0.20,0.12,-0.11,3601
+,1634,-5444,23032,-0.22,0.12,-0.23,3709
+,-14768,-7174,26274,-0.16,0.12,-0.30,3816
+,-23002,-9360,19018,-0.01,0.16,-0.28,3922
+,-18526,-8160,8826,0.17,0.21,-0.21,4029
+,-4312,-7164,-5392,0.36,0.20,-0.09,4135
+,26596,2986,-8150,0.45,0.11,0.03,4242
+,25370,-2408,13980,0.21,0.08,-0.09,4349
+,15924,-4446,32767,-0.07,0.10,-0.46,4456
+,-17488,-10290,32767,-0.15,0.06,-0.96,4563
+,-32082,-9054,28918,-0.05,0.08,-1.28,4670
+,-25460,-9434,13068,0.13,0.11,-1.55,4776
+,-6282,-4956,-7826,0.35,0.08,-1.15,4883
+,-32768,304,-4050,0.42,-0.02,-0.68,4992
+,25232,184,2142,0.33,-0.07,-0.45,5099
+,-21736,-9740,22112,0.14,-0.09,-0.46,5206
+,-22920,-12250,32767,-0.11,0.00,-0.34,5313
+,-9974,-10256,32492,-0.19,0.01,-0.16,5419
+,2890,-6956,28750,-0.14,-0.04,-0.00,5526
+,15494,-9850,30368,-0.04,-0.10,0.13,5633
+,15494,-9850,30368,-0.04,-0.10,0.13,5790
+,-2224,-14266,-22414,1.38,-0.46,-1.45,5896
+,22080,-592,-4010,1.33,-0.64,-1.07,6003
+,-32768,12102,16132,0.98,-0.73,-0.59,6109
+,-32768,7294,4210,0.89,-0.68,-0.39,6215
+,-32768,4836,-23160,1.20,-0.69,-0.64,6324
+,-32768,5458,-28814,1.47,-0.60,-0.87,6430
+,28526,6598,-14448,1.51,-0.37,-0.94,6537
+,25790,1858,-5922,1.53,-0.12,-0.98,6643
+,18592,-1692,-6750,1.66,0.11,-0.98,6749
+,21988,-5628,-9908,1.85,0.29,-1.01,6856
+,15668,-16096,-5084,2.02,0.52,-1.06,6962
+,4096,-32174,-294,2.31,0.83,-0.99,7068
+,-23462,-32768,-17248,3.12,1.02,-0.41,7175
+,-32767,-32768,-24476,-2.52,0.90,0.04,7281
+,-32767,-32768,-32768,-2.32,0.83,0.08,7388
+,-24454,-29656,-20162,-2.56,0.94,-0.14,7495
+,1778,-23306,7766,3.08,1.12,-0.61,7604
+,17418,-24030,32767,2.40,1.20,-1.05,7711
+,-7410,-21044,32767,2.36,1.36,-0.20,7818
+,-15512,-15726,24636,-2.46,1.42,1.09,7925
+,-18530,-20040,28768,-1.84,1.19,1.39,8032
+,-32767,-31982,4352,-1.17,0.91,2.01,8138
+,-32767,-23876,-4978,-0.71,0.64,2.42,8245
+,-10468,-13566,-18428,-0.40,0.84,2.31,8352
+,11608,-9218,-14870,-0.25,1.06,2.44,8459
+,17008,-16746,32022,-0.55,1.07,2.24,8566
+,-9386,-21882,32767,-0.78,0.80,1.82,8673
+,-32767,-19844,24208,-0.65,0.46,1.57,8780
+,-23052,-20616,-3864,-0.38,0.50,1.47,8889
+,24700,-5830,-8970,-0.23,0.70,1.57,8996
+,22526,-16120,32767,-0.52,0.61,1.34,9103
+,22526,-16120,32767,-0.52,0.61,1.34,9260
+,-27312,-12380,13316,-0.54,0.23,0.83,9366
+,5156,-4304,-15310,-0.38,0.37,0.86,9472
+,-32768,-4134,15300,-0.49,0.38,0.80,9578
+,-7482,-12412,32767,-0.68,0.26,0.39,9685
+,-32767,-13700,19502,-0.60,0.21,0.39,9791
+,-19066,-9780,2096,-0.49,0.43,0.30,9897
+,-32768,-2116,-7118,-0.42,0.58,0.29,10004
